
2017-08-10 23:44:09,138 proc_top starting

2017-08-10 23:44:19,139
   pid name                  utime  stime  pct
   919 (python)                 33      1   3%
    24 (ipu1_task)               0     11   1%
   926 (pixrc_ser)               0      6   1%
   924 (telem_up)                1      5   1%
   937 (python)                  6      0   1%

2017-08-10 23:48:49,139
   pid name                  utime  stime  pct
   923 (telem_down)             37    233  27%
   935 (python)                175     14  19%
    13 (kworker/0:1)             0    126  13%
   938 (python)                 82     35  12%
   936 (python)                 42     10   5%
   931 (vidsrc:src)             25     16   4%
   908 (dataflash_logge)        11     28   4%
   921 (pixrc_udp)               0     37   4%
   919 (python)                 32      2   3%
    24 (ipu1_task)               0     10   1%
   937 (python)                  7      0   1%
   926 (pixrc_ser)               1      4   1%
   924 (telem_up)                0      5   1%

2017-08-10 23:48:59,139
   pid name                  utime  stime  pct
   923 (telem_down)             42    241  28%
   935 (python)                187     12  20%
    13 (kworker/0:1)             0    132  13%
   938 (python)                 86     35  12%
   936 (python)                 43     10   5%
   931 (vidsrc:src)             31     11   4%
   908 (dataflash_logge)        15     26   4%
   921 (pixrc_udp)               0     38   4%
   919 (python)                 26      9   4%
    24 (ipu1_task)               0     11   1%
   937 (python)                  6      1   1%
   924 (telem_up)                0      6   1%
   926 (pixrc_ser)               0      5   1%

2017-08-10 23:49:09,139
   pid name                  utime  stime  pct
   923 (telem_down)             24    208  23%
   935 (python)                167     10  18%
    13 (kworker/0:1)             0    116  12%
   938 (python)                 69     38  11%
   936 (python)                 44      6   5%
   931 (vidsrc:src)             22     15   4%
   908 (dataflash_logge)         7     27   3%
   921 (pixrc_udp)               0     31   3%
   919 (python)                 29      0   3%
    24 (ipu1_task)               0     10   1%
   926 (pixrc_ser)               0      6   1%
   924 (telem_up)                2      4   1%
   937 (python)                  5      1   1%

2017-08-10 23:49:19,139
   pid name                  utime  stime  pct
   923 (telem_down)             20     81  10%
   935 (python)                 87      3   9%
   938 (python)                 43     19   6%
    13 (kworker/0:1)             0     57   6%
   936 (python)                 36      8   4%
   931 (vidsrc:src)             13     13   3%
   908 (dataflash_logge)         0     14   1%
   919 (python)                 13      0   1%
    24 (ipu1_task)               0      9   1%
   921 (pixrc_udp)               0      9   1%
   924 (telem_up)                0      5   1%
   937 (python)                  5      0   1%

2017-08-10 23:49:29,139
   pid name                  utime  stime  pct
   923 (telem_down)             14     84  10%
   935 (python)                 87      2   9%
   938 (python)                 54      7   6%
    13 (kworker/0:1)             0     50   5%
   936 (python)                 39      6   5%
   931 (vidsrc:src)             22     10   3%
   921 (pixrc_udp)               0     30   3%
   919 (python)                 24      1   3%
   908 (dataflash_logge)         2      9   1%
    24 (ipu1_task)               0      9   1%
   937 (python)                  6      0   1%
   926 (pixrc_ser)               2      3   1%

2017-08-10 23:49:39,139
   pid name                  utime  stime  pct
   921 (pixrc_udp)             106      0  11%
   923 (telem_down)             13     85  10%
   935 (python)                 82      6   9%
   938 (python)                 46     16   6%
    13 (kworker/0:1)             0     49   5%
   936 (python)                 41      6   5%
   931 (vidsrc:src)             22      9   3%
   919 (python)                 22      6   3%
   908 (dataflash_logge)         3     10   1%
    24 (ipu1_task)               0      8   1%
   924 (telem_up)                2      3   1%
   937 (python)                  5      0   1%

2017-08-10 23:49:49,139
   pid name                  utime  stime  pct
   923 (telem_down)             12     87  10%
   935 (python)                 86      4   9%
   938 (python)                 47     16   6%
    13 (kworker/0:1)             0     49   5%
   936 (python)                 37      9   5%
   931 (vidsrc:src)             21      9   3%
   919 (python)                 26      1   3%
   908 (dataflash_logge)         2     11   1%
    24 (ipu1_task)               0      9   1%
   924 (telem_up)                0      5   1%
   937 (python)                  5      0   1%

2017-08-10 23:49:59,139
   pid name                  utime  stime  pct
   923 (telem_down)             21     78  10%
   935 (python)                 82      7   9%
   938 (python)                 48     14   6%
    13 (kworker/0:1)             0     49   5%
   936 (python)                 38      8   5%
   931 (vidsrc:src)             19     12   3%
   919 (python)                 26      1   3%
   908 (dataflash_logge)         7      6   1%
    24 (ipu1_task)               0      8   1%
   926 (pixrc_ser)               0      5   1%
   924 (telem_up)                1      4   1%
   937 (python)                  5      0   1%

2017-08-10 23:50:09,139
   pid name                  utime  stime  pct
   923 (telem_down)             22    145  17%
   935 (python)                120      7  13%
   938 (python)                 59     23   8%
    13 (kworker/0:1)             0     80   8%
   936 (python)                 36     12   5%
   931 (vidsrc:src)             20     14   3%
   919 (python)                 31      0   3%
   908 (dataflash_logge)         8     16   2%
   921 (pixrc_udp)               5     14   2%
    24 (ipu1_task)               0      9   1%
   937 (python)                  5      1   1%
   926 (pixrc_ser)               0      5   1%
   924 (telem_up)                1      4   1%

2017-08-10 23:50:19,140
   pid name                  utime  stime  pct
   923 (telem_down)             27    194  22%
   935 (python)                145     12  16%
    13 (kworker/0:1)             0    102  10%
   938 (python)                 69     29  10%
   936 (python)                 45      5   5%
   921 (pixrc_udp)              38      0   4%
   931 (vidsrc:src)             21     16   4%
   919 (python)                 28      6   3%
   908 (dataflash_logge)        11     22   3%
    24 (ipu1_task)               0     10   1%
   924 (telem_up)                2      8   1%
   937 (python)                  7      0   1%
   926 (pixrc_ser)               0      5   1%

2017-08-10 23:50:29,139
   pid name                  utime  stime  pct
   923 (telem_down)             14    177  19%
   935 (python)                141      7  15%
   938 (python)                 66     27   9%
    13 (kworker/0:1)             0     89   9%
